country,model,RMSE,MAPE
Belarus,Gradient Boosting (XGB substitute),20.81903746592799,5.34586404800317
Belarus,Random Forest,19.982669095870232,5.4998145894724955
Belgium,ARIMA,43.04332654805945,5.116564337635833
Belgium,Exponential Smoothing,76.24982881694505,9.797588322102618
Belgium,Gradient Boosting (XGB substitute),51.03540455496819,6.45178782597176
Belgium,Random Forest,48.058234981927406,5.850802013365097
Belize,ARIMA,0.6003425784814581,13.956633091529804
Belize,Exponential Smoothing,0.46221933481100325,11.50517649527027
Belize,Gradient Boosting (XGB substitute),0.5822906483867368,14.351847142820247
Belize,Random Forest,0.6039770162590177,14.262797253237686
Benin,ARIMA,7.406767492829148,20.778839377444935
Benin,Exponential Smoothing,6.522145586695017,18.251685019539522
Benin,Gradient Boosting (XGB substitute),9.5601062232817,27.018289057831428
Benin,Random Forest,9.11314854878723,25.731586328859912
Bermuda,ARIMA,1.118868798384306,36.64636144204138
Bermuda,Exponential Smoothing,0.7405577622253159,21.77321021751257
Bermuda,Gradient Boosting (XGB substitute),0.4990154241695555,14.878020259465629
Bermuda,Random Forest,0.4002609418388561,10.298612146412523
Bhutan,ARIMA,1.0932872979561745,4.548113381357145
Bhutan,Exponential Smoothing,0.8553723427014353,3.57558374866808
Bhutan,Gradient Boosting (XGB substitute),3.1367359943232707,13.758118900466243
Bhutan,Random Forest,2.953233624804992,12.759467982118785
Bolivia,ARIMA,10.60558218013146,8.741739093301447
Bolivia,Exponential Smoothing,11.469249589443297,8.596614277270206
Bolivia,Gradient Boosting (XGB substitute),7.327394028123111,7.119259694713917
Bolivia,Random Forest,11.514924529408482,11.559045562822574
Bosnia and Herzegovina,ARIMA,4.867244394069622,5.845474136144219
Bosnia and Herzegovina,Exponential Smoothing,10.835546969790895,14.06793041424862
Bosnia and Herzegovina,Gradient Boosting (XGB substitute),8.111318219047911,6.954642744281646
Bosnia and Herzegovina,Random Forest,6.154736574076994,5.692180133563411
Botswana,ARIMA,2.2288769487047086,7.497394044880794
Botswana,Exponential Smoothing,2.0089288082330286,6.8411407245647675
Botswana,Gradient Boosting (XGB substitute),4.121814592288525,15.489833937920222
Botswana,Random Forest,4.324361355859233,16.073122017489574
Brazil,ARIMA,442.786811879945,10.279205378070133
Brazil,Exponential Smoothing,259.7479059901542,6.15204451555389
Brazil,Gradient Boosting (XGB substitute),271.6924085915195,6.61274752022528
Brazil,Random Forest,356.9190370116465,9.27614948841714
British Virgin Islands,ARIMA,0.13835113702571256,15.813676651730141
British Virgin Islands,Exponential Smoothing,0.1512073596252473,17.21828257172254
British Virgin Islands,Gradient Boosting (XGB substitute),0.0716435551988939,6.9209154265106
British Virgin Islands,Random Forest,0.07211021729458035,7.030738801884735
Brunei,ARIMA,11.65259709021932,21.0725081092985
Brunei,Exponential Smoothing,5.51228911519319,9.811387083003419
Brunei,Gradient Boosting (XGB substitute),8.43269466227977,14.57150468980782
Brunei,Random Forest,8.57076602713482,14.592435183469425
Bulgaria,ARIMA,14.240210813227003,5.435263526194025
Bulgaria,Exponential Smoothing,14.904256985360696,5.8060806878843465
Bulgaria,Gradient Boosting (XGB substitute),15.108626983094874,5.705236568445656
Bulgaria,Random Forest,15.583275289036761,6.011198136846518
Burkina Faso,ARIMA,3.6828903444137446,18.429339808495648
Burkina Faso,Exponential Smoothing,3.105961700890045,15.834966225164957
Burkina Faso,Gradient Boosting (XGB substitute),6.827290583588347,35.17043961500523
Burkina Faso,Random Forest,7.421358098560069,39.1043823691135
Burundi,ARIMA,1.1208282076823672,27.62329994158445
Burundi,Exponential Smoothing,0.7920004227945715,18.073979681980372
Burundi,Gradient Boosting (XGB substitute),1.3501772010307251,36.587235319003256
Burundi,Random Forest,1.254962819257908,33.161282923301194
CIS (EI),ARIMA,1630.0943295731547,14.192596217561757
CIS (EI),Exponential Smoothing,442.64467299181376,3.7463029025610024
CIS (EI),Gradient Boosting (XGB substitute),387.56115842899186,3.0392950654768134
CIS (EI),Random Forest,330.5666795611411,2.6552058816113178
Cambodia,ARIMA,23.900297739250526,34.1753520049692
Cambodia,Exponential Smoothing,14.932501911284852,20.41510257891857
Cambodia,Gradient Boosting (XGB substitute),26.95805137007256,40.51755858046435
Cambodia,Random Forest,28.061029274590613,43.45347196806066
Cameroon,ARIMA,2.3929383050816626,4.279325744352636
Cameroon,Exponential Smoothing,2.384883241910969,4.25573386819313
Cameroon,Gradient Boosting (XGB substitute),4.598013117773361,10.455232961905965
Cameroon,Random Forest,4.926397337898171,11.196826973387822
Canada,ARIMA,262.8778341388611,4.968685324458477
Canada,Exponential Smoothing,355.3589100083401,6.956769741726497
Canada,Gradient Boosting (XGB substitute),242.74175237061115,5.5584286775148435
Canada,Random Forest,185.60147366677901,4.157282889126196
Cape Verde,ARIMA,0.21316856202613857,4.189549014822579
Cape Verde,Exponential Smoothing,0.615787718923608,13.78463391297643
Cape Verde,Gradient Boosting (XGB substitute),0.34322310729377314,7.175572266958591
Cape Verde,Random Forest,0.3422635619620014,7.178471186193742
Cayman Islands,ARIMA,0.44216880275487,11.423210150434178
Cayman Islands,Exponential Smoothing,0.19041435691155184,5.800334127798442
Cayman Islands,Gradient Boosting (XGB substitute),0.40860090236408525,11.01810444941121
Cayman Islands,Random Forest,0.39093849435574385,9.848308924904432
Central & South America (EIA),ARIMA,1241.7499153647288,12.12500927068812
Central & South America (EIA),Exponential Smoothing,1364.7741803912256,13.522557599580118
Central & South America (EIA),Gradient Boosting (XGB substitute),296.9359515447738,2.533335775109325
Central & South America (EIA),Random Forest,336.924172127889,3.7432138455818746
Central African Republic,ARIMA,0.20649935181966242,14.738317044736307
Central African Republic,Exponential Smoothing,0.16038921820468263,9.81962089646302
Central African Republic,Gradient Boosting (XGB substitute),0.23197728633340134,14.330042001045404
Central African Republic,Random Forest,0.19423363582659842,12.540851827597422
Central America (EI),ARIMA,41.60203274683828,9.013003033630975
Central America (EI),Exponential Smoothing,36.734549133611395,7.868793133002584
Central America (EI),Gradient Boosting (XGB substitute),85.82275661886924,19.782343253079695
Central America (EI),Random Forest,90.76702228819165,21.227704431557523
Chad,ARIMA,2.059743609727132,24.84373016659299
Chad,Exponential Smoothing,2.1242459544552856,33.33862464520394
Chad,Gradient Boosting (XGB substitute),2.2191259526952347,27.499157113344342
Chad,Random Forest,2.808739603707198,40.803195059274195
Chile,ARIMA,31.282888219976893,5.408071543941615
Chile,Exponential Smoothing,17.933078446588553,3.2985315643431594
Chile,Gradient Boosting (XGB substitute),99.97688998005619,20.08949198898744
Chile,Random Forest,92.00379918808247,18.454181697431284
China,ARIMA,4184.712488489579,10.070523456705194
China,Exponential Smoothing,8270.448908460361,18.637344798262145
China,Gradient Boosting (XGB substitute),8652.492798877456,17.884659281581108
China,Random Forest,9722.27555948952,21.120153778641004
Colombia,ARIMA,62.83958414973147,9.02850457153024
Colombia,Exponential Smoothing,56.31309738256676,8.776095032378967
Colombia,Gradient Boosting (XGB substitute),108.5253336448478,17.41247346390457
Colombia,Random Forest,120.51060935083035,19.866977916463245
Comoros,ARIMA,0.46409777041362593,33.214566939374095
Comoros,Exponential Smoothing,0.38156665924248456,26.51175523349563
Comoros,Gradient Boosting (XGB substitute),0.621429698145747,49.87674964075561
Comoros,Random Forest,0.5519046183193451,42.6169696278236
Congo,ARIMA,13.430022084251055,65.12959034633697
Congo,Exponential Smoothing,18.877054267678968,91.27178490751378
Congo,Gradient Boosting (XGB substitute),6.415670762395005,32.3868035699962
Congo,Random Forest,6.3330293830667115,30.990104460239397
Cook Islands,ARIMA,0.0873410593059736,17.649199362094343
Cook Islands,Exponential Smoothing,0.01930780641345343,3.5723501555742656
Cook Islands,Gradient Boosting (XGB substitute),0.09163418578281188,18.320310815987195
Cook Islands,Random Forest,0.09509055058790476,19.154001870120275
Costa Rica,ARIMA,3.625227601367298,4.451157296322767
Costa Rica,Exponential Smoothing,2.8827290532955976,3.5741470934077153
Costa Rica,Gradient Boosting (XGB substitute),7.603624197518165,11.010873857191045
Costa Rica,Random Forest,7.3937205937318184,10.636165153234705
Cote d'Ivoire,ARIMA,14.05832315167543,22.098360170314972
Cote d'Ivoire,Exponential Smoothing,11.860710158733928,19.324340834335953
Cote d'Ivoire,Gradient Boosting (XGB substitute),16.606057097399773,27.640952033131384
Cote d'Ivoire,Random Forest,18.14188111146213,30.418883131117404
Croatia,ARIMA,3.4075892790606646,3.13383341425765
Croatia,Exponential Smoothing,4.00057593238199,3.108700208924242
Croatia,Gradient Boosting (XGB substitute),5.369537806237367,4.428310804955822
Croatia,Random Forest,4.789799692134865,4.248488833410467
Cuba,ARIMA,17.919412975337604,13.926414567737927
Cuba,Exponential Smoothing,20.063171315714268,16.18320979425273
Cuba,Gradient Boosting (XGB substitute),8.384958156028162,5.4454005309077465
Cuba,Random Forest,8.294292718493105,4.457620588911397
Cyprus,ARIMA,4.226093541961684,13.032145418608987
Cyprus,Exponential Smoothing,7.561818892165341,23.703449471295624
